id,influence,image
Tito Rodriguez,8,tito-rodriguez
Machito,8,machito
Tito Puente,8,tito-puente
Johnny Pacheco,5,johnny-pacheco
Eddie Palmieri,5,eddie-palmieri
Joe Bataan,5,joe-bataan
Joey Pastrana,5,joey-pastrana
Mongo Santamaria,5,mongo-santamaria
Cal Tjader,5,cal-tjader
Joe Cuba,3,joe-cuba
Ray Barretto,3,ray-barretto
Charlie Palmieri,3,charlie-palmieri
Richie Ray,2,richie-ray
Harvey Averne,3,harvey-averne
Bobby Cruz,1,bobby-cruz
Larry Harlow,3,larry-harlow
Fania All-Stars,1,fania
Willie Colon,3,willie-colon
Hector Lavoe,2,hector-lavoe
Ruben Blades,1,ruben-blades
Louie Ramirez,2,louie-ramirez
La Lupe,1,la-lupe
Willie Bobo,3,willie-bobo
Pucho,1,pucho
Johnny Colón,1,johnny-colon
Lebron Brothers,1,lebron-brothers
TNT Boys,1,tnt-boys
Jimmy Sabater,1,jimmy-sabater
Pete Rodriguez,2,pete-rodriguez
Tony Pabon,1,tony-pabon
